Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,MA_90,Volatility_7,Volatility_30,Daily_Range,Daily_Range_Pct,Month,Month_Name
2025-04-15,83668.9921875,86429.3515625,83598.8203125,84539.6953125,28040322885,-1.033089354397465,83255.48549107143,83574.83229166667,91023.16519097223,4.093301730292738,2.9786793607346764,2830.53125,3.38301104865331,2025-04,Apr
2025-04-16,84033.8671875,85428.28125,83100.6171875,83674.5078125,29617804112,0.4360934564412222,83464.04464285714,83573.43828125,90848.46475694445,2.757797210169381,2.9617437784628775,2327.6640625,2.769911870539547,2025-04,Apr
2025-04-17,84895.75,85449.0703125,83749.75,84030.671875,21276866029,1.025637449930672,84216.84598214286,83646.01328125,90631.06154513889,2.1726193476042566,2.9500821496217378,1699.3203125,2.0016553390481855,2025-04,Apr
2025-04-18,84450.8046875,85095.046875,84298.8828125,84900.1875,12728372364,-0.5241078764249063,84366.27008928571,83565.89921875,90409.31414930556,1.414895743887209,2.8043359755896096,796.1640625,0.9427548564470274,2025-04,Apr
2025-04-19,85063.4140625,85597.703125,84353.4609375,84450.8671875,15259300427,0.7254038339443714,84334.31361607143,83595.77317708333,90231.2453125,1.131495429615222,2.7477860185541143,1244.2421875,1.46272307691036,2025-04,Apr
2025-04-20,85174.3046875,85306.3828125,83976.84375,85066.0703125,14664050812,0.13036230231544543,84547.07477678571,83633.47526041667,90044.1079861111,0.78760373102851,2.7474911660418138,1329.5390625,1.5609626252635793,2025-04,Apr
2025-04-21,87518.90625,88460.09375,85143.8359375,85171.5390625,41396190190,2.7527099529631727,84972.29129464286,83756.35598958333,89837.13732638888,1.2207685799765253,2.7893949803065263,3316.2578125,3.789190192833334,2025-04,Apr
2025-04-22,93441.890625,93817.3828125,87084.53125,87521.875,55899038456,6.767662701452015,86368.41964285714,84002.60651041666,89723.67977430555,2.4883993408693703,3.007822443883927,6732.8515625,7.205388843768377,2025-04,Apr
2025-04-23,93699.109375,94535.734375,91962.9609375,93427.5859375,41719568821,0.27527134594511615,87749.16852678571,84209.2796875,89609.66796875,2.5018175953595976,2.9968268616061087,2572.7734375,2.7457821687539385,2025-04,Apr
2025-04-24,93943.796875,94016.1953125,91696.7109375,93692.3984375,31483175315,0.26114175645013393,89041.74665178571,84425.01614583333,89488.82699652777,2.547005565540203,2.9962846681667394,2319.484375,2.4690128056951606,2025-04,Apr
